Visual,Spatial,Data,Technology,Theory
"Interaction --- Grab,Interaction --- Slide,Interaction --- Pinch,Interaction --- Raycast,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Select,Manipulate --- Filter,Manipulate --- Slice,Position --- Fixed (Point),Position --- Fixed (Object),Scale --- Small,2D or 3D --- 3D","Environment --- Seated,Environment --- Table,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Biology,Data Domain --- Life sciences,Dataset Types --- Tabular,Dataset Types --- Spatial,Dataset Generation --- Static","Presentation --- AR,Presentation --- HMD,Input --- Custom Controller,Input --- Gesture,Input --- Commercial Controller","Opportunity --- Embodied Data Exploration,Contribution Type --- System"
"Interaction --- Touch,Interaction --- Pinch,Interaction --- Move,Interaction --- Gesture,Interaction --- Gaze,Abstract/Natural --- Abstract,Manipulate --- Arrange,Position --- Unfixed,Position --- Fixed (Object),Scale --- Small,2D or 3D --- 2D","Environment --- Room Scale,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Health,Data Domain --- Migration,Data Domain --- Life sciences,Dataset Types --- Tabular,Dataset Generation --- Static","Presentation --- AR,Presentation --- HMD,Presentation --- Phone,Input --- Gaze,Input --- Mobile Device","Opportunity --- Spatial Immersion,Contribution Type --- Technique"
"Interaction --- Draw,Abstract/Natural --- Abstract,Manipulate --- Change,Manipulate --- Select,Position --- Fixed (Point),Scale --- Medium ,Scale --- Large,2D or 3D --- 3D","Environment --- Room Scale,Space --- Infinite ,Embodiment --- Egocentric","Data Domain --- Personal,Dataset Types --- Tabular,Dataset Generation --- Interactive,Dataset Generation --- Dynamic","Presentation --- HMD,Presentation --- VR,Presentation --- Tablet,Input --- Commercial Controller","Opportunity --- Engagement,Contribution Type --- Evaluation"
"Interaction --- Gesture,Interaction --- Touch,Abstract/Natural --- Abstract,Manipulate --- Select,Manipulate --- Filter,Manipulate --- Pan,Position --- Fixed (Point),Scale --- Small,Scale --- Medium ,Scale --- Large,2D or 3D --- 2D","Environment --- Room Scale,Environment --- Wall,Space --- Situated ,Embodiment --- Exocentric","Data Domain --- General,Dataset Types --- Tabular,Dataset Types --- Network,Dataset Generation --- Static","Presentation --- AR,Presentation --- Phone,Presentation --- Handheld,Input --- Mobile Device","Opportunity --- Situated Analytics,Contribution Type --- System"
"Interaction --- Click,Interaction --- Draw,Interaction --- Mouseover,Interaction --- Brushing,Interaction --- Type,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Select,Manipulate --- Zoom,Manipulate --- Arrange,Manipulate --- Translate,Manipulate --- Filter,Manipulate --- Scale,Manipulate --- Rotate,Position --- Fixed (Point),Scale --- Small,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Seated,Environment --- Table,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Physical Sciences,Dataset Types --- Tabular,Dataset Types --- Spatial,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- HMD,Presentation --- AR,Input --- Mouse/Keyboard","Opportunity --- Spatial Immersion,Contribution Type --- Design Study"
"Interaction --- Touch,Interaction --- Draw,Interaction --- Move,Interaction --- Slide,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Select,Manipulate --- Arrange,Position --- Fixed (Object),Scale --- Small,Scale --- Medium ,2D or 3D --- 2D","Environment --- Room Scale,Environment --- Object,Space --- Situated ,Embodiment --- Exocentric","Data Domain --- Health,Data Domain --- Physical Sciences,Data Domain --- Life sciences,Dataset Types --- Spatial,Dataset Generation --- Dynamic,Dataset Generation --- Live-computation,Dataset Generation --- Interactive","Presentation --- AR,Presentation --- Tablet,Presentation --- Handheld,Input --- Mobile Device","Opportunity --- Engagement,Contribution Type --- Technique"
"Interaction --- Touch,Interaction --- Grab,Interaction --- Raycast,Interaction --- Move,Interaction --- Slide,Abstract/Natural --- Abstract,Manipulate --- Navigate,Manipulate --- Arrange,Manipulate --- Change,Manipulate --- Filter,Position --- Fixed (Point),Position --- Fixed (Hand),Scale --- Small,Scale --- Medium ,2D or 3D --- 3D,2D or 3D --- 2D","Environment --- Room Scale,Space --- Infinite ,Embodiment --- Egocentric","Data Domain --- General,Dataset Types --- Tabular,Dataset Generation --- Pre-computation,Dataset Generation --- Static,Dataset Generation --- Live-computation,Dataset Generation --- Interactive","Presentation --- HMD,Presentation --- VR,Input --- Commercial Controller","Opportunity --- Spatial Immersion,Contribution Type --- System"
"Interaction --- None,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- None,Position --- Fixed (Point),Scale --- Small,2D or 3D --- 2D","Environment --- Room Scale,Environment --- Table,Space --- Situated ,Embodiment --- Exocentric","Data Domain --- Manufacturing ,Dataset Types --- Tabular,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- AR,Presentation --- Phone,Presentation --- Handheld,Input --- Mobile Device","Opportunity --- Engagement,Contribution Type --- Evaluation"
"Interaction --- Gesture,Interaction --- Gaze,Interaction --- Voice,Interaction --- Pinch,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Translate,Manipulate --- Zoom,Manipulate --- Rotate,Manipulate --- Select,Position --- Fixed (Point),Scale --- Medium ,2D or 3D --- 3D","Environment --- Seated,Environment --- Table,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Ecology,Data Domain --- Biology,Data Domain --- Life sciences,Dataset Types --- Spatial,Dataset Types --- Network,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- HMD,Presentation --- AR,Input --- Voice,Input --- Gaze,Input --- Gesture","Opportunity --- Embodied Data Exploration,Contribution Type --- Design Study"
"Interaction --- Touch,Interaction --- Gesture,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Arrange,Position --- Fixed (Object),Scale --- Small,2D or 3D --- 2D","Environment --- Seated,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Physical Sciences,Dataset Types --- Tabular,Dataset Generation --- Live-computation,Dataset Generation --- Dynamic","Presentation --- HMD,Presentation --- AR,Input --- Gesture","Opportunity --- Situated Analytics,Contribution Type --- System"
